"month","crime","count"
2001-10-01,"NARCOTICS",4017
2001-10-01,"OBSCENITY",1
2001-10-01,"OFFENSE INVOLVING CHILDREN",141
2001-10-01,"OTHER OFFENSE",2221
2001-10-01,"PROSTITUTION",473
2001-10-01,"PUBLIC INDECENCY",1
2001-10-01,"PUBLIC PEACE VIOLATION",313
2001-10-01,"ROBBERY",1857
2001-10-01,"SEX OFFENSE",176
2001-10-01,"STALKING",14
2001-10-01,"THEFT",8998
2001-10-01,"WEAPONS VIOLATION",427
2001-11-01,"ARSON",65
2001-11-01,"ASSAULT",2394
2001-11-01,"BATTERY",7098
2001-11-01,"BURGLARY",2444
2001-11-01,"CRIM SEXUAL ASSAULT",135
2001-11-01,"CRIMINAL DAMAGE",4698
2001-11-01,"CRIMINAL TRESPASS",1092
2001-11-01,"DECEPTIVE PRACTICE",1178
2001-11-01,"GAMBLING",77
2001-11-01,"HOMICIDE",64
2001-11-01,"INTERFERENCE WITH PUBLIC OFFICER",47
2001-11-01,"INTIMIDATION",19
2001-11-01,"KIDNAPPING",74
2001-11-01,"LIQUOR LAW VIOLATION",132
2001-11-01,"MOTOR VEHICLE THEFT",2378
2001-11-01,"NARCOTICS",4350
2001-11-01,"OBSCENITY",3
2001-11-01,"OFFENSE INVOLVING CHILDREN",158
2001-11-01,"OTHER OFFENSE",2295
2001-11-01,"PROSTITUTION",592
2001-11-01,"PUBLIC INDECENCY",1
2001-11-01,"PUBLIC PEACE VIOLATION",174
2001-11-01,"ROBBERY",1595
2001-11-01,"SEX OFFENSE",160
2001-11-01,"STALKING",17
2001-11-01,"THEFT",7943
2001-11-01,"WEAPONS VIOLATION",413
2001-12-01,"ARSON",75
2001-12-01,"ASSAULT",2078
2001-12-01,"BATTERY",6652
2001-12-01,"BURGLARY",2113
2001-12-01,"CRIM SEXUAL ASSAULT",116
2001-12-01,"CRIMINAL DAMAGE",4256
2001-12-01,"CRIMINAL TRESPASS",980
2001-12-01,"DECEPTIVE PRACTICE",1256
2001-12-01,"GAMBLING",50
2001-12-01,"HOMICIDE",49
2001-12-01,"INTERFERENCE WITH PUBLIC OFFICER",26
2001-12-01,"INTIMIDATION",23
2001-12-01,"KIDNAPPING",86
2001-12-01,"LIQUOR LAW VIOLATION",96
2001-12-01,"MOTOR VEHICLE THEFT",2223
2001-12-01,"NARCOTICS",4338
2001-12-01,"OFFENSE INVOLVING CHILDREN",171
2001-12-01,"OTHER OFFENSE",2044
2001-12-01,"PROSTITUTION",449
2001-12-01,"PUBLIC PEACE VIOLATION",164
2001-12-01,"RITUALISM",1
2001-12-01,"ROBBERY",1636
2001-12-01,"SEX OFFENSE",143
2001-12-01,"STALKING",17
2001-12-01,"THEFT",7467
2001-12-01,"WEAPONS VIOLATION",335
2002-01-01,"ARSON",93
2002-01-01,"ASSAULT",2262
2002-01-01,"BATTERY",6700
2002-01-01,"BURGLARY",2095
2002-01-01,"CRIM SEXUAL ASSAULT",168
2002-01-01,"CRIMINAL DAMAGE",4221
2002-01-01,"CRIMINAL TRESPASS",1113
2002-01-01,"DECEPTIVE PRACTICE",1215
2002-01-01,"GAMBLING",50
2002-01-01,"HOMICIDE",45
2002-01-01,"INTERFERENCE WITH PUBLIC OFFICER",36
2002-01-01,"INTIMIDATION",26
2002-01-01,"KIDNAPPING",72
2002-01-01,"LIQUOR LAW VIOLATION",113
2002-01-01,"MOTOR VEHICLE THEFT",2092
2002-01-01,"NARCOTICS",4777
2002-01-01,"OBSCENITY",3
2002-01-01,"OFFENSE INVOLVING CHILDREN",274
2002-01-01,"OTHER OFFENSE",2809
2002-01-01,"PROSTITUTION",602
2002-01-01,"PUBLIC INDECENCY",1
2002-01-01,"PUBLIC PEACE VIOLATION",186
2002-01-01,"ROBBERY",1471
2002-01-01,"SEX OFFENSE",155
2002-01-01,"STALKING",12
2002-01-01,"THEFT",7408
2002-01-01,"WEAPONS VIOLATION",400
2002-02-01,"ARSON",90
2002-02-01,"ASSAULT",2010
2002-02-01,"BATTERY",5826
2002-02-01,"BURGLARY",1562
2002-02-01,"CRIM SEXUAL ASSAULT",121
2002-02-01,"CRIMINAL DAMAGE",3761
2002-02-01,"CRIMINAL TRESPASS",1097
2002-02-01,"DECEPTIVE PRACTICE",1010
2002-02-01,"GAMBLING",48
2002-02-01,"HOMICIDE",32
2002-02-01,"INTERFERENCE WITH PUBLIC OFFICER",25
2002-02-01,"INTIMIDATION",13
2002-02-01,"KIDNAPPING",57
2002-02-01,"LIQUOR LAW VIOLATION",82
2002-02-01,"MOTOR VEHICLE THEFT",1851
2002-02-01,"NARCOTICS",4800
2002-02-01,"OBSCENITY",1
2002-02-01,"OFFENSE INVOLVING CHILDREN",150
2002-02-01,"OTHER OFFENSE",2724
2002-02-01,"PROSTITUTION",539
2002-02-01,"PUBLIC INDECENCY",1
2002-02-01,"PUBLIC PEACE VIOLATION",177
2002-02-01,"ROBBERY",1139
2002-02-01,"SEX OFFENSE",133
2002-02-01,"STALKING",19
2002-02-01,"THEFT",6309
2002-02-01,"WEAPONS VIOLATION",331
2002-03-01,"ARSON",86
2002-03-01,"ASSAULT",2425
2002-03-01,"BATTERY",7305
2002-03-01,"BURGLARY",1721
2002-03-01,"CRIM SEXUAL ASSAULT",135
2002-03-01,"CRIMINAL DAMAGE",4461
2002-03-01,"CRIMINAL TRESPASS",1235
2002-03-01,"DECEPTIVE PRACTICE",1033
2002-03-01,"GAMBLING",66
2002-03-01,"HOMICIDE",42
2002-03-01,"INTERFERENCE WITH PUBLIC OFFICER",30
2002-03-01,"INTIMIDATION",27
2002-03-01,"KIDNAPPING",73
2002-03-01,"LIQUOR LAW VIOLATION",120
2002-03-01,"MOTOR VEHICLE THEFT",2084
2002-03-01,"NARCOTICS",4819
2002-03-01,"OBSCENITY",2
2002-03-01,"OFFENSE INVOLVING CHILDREN",203
2002-03-01,"OTHER NARCOTIC VIOLATION",2
2002-03-01,"OTHER OFFENSE",2946
2002-03-01,"PROSTITUTION",500
